cnt,t1,mean,window_exec_us,sampling_freq_hz,adaptive_sampling,noise_enabled,spike_probability,filter_window_size,auto_profile,filter_applied,filter_mean_exec_us,tp,tn,fp,fn,previous_latency_us,fpr,tpr,total_received,total_missing,loss_rate,missing_packets,out_of_order
0,14604831,2604,125056,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,1,0,0.0,0,False
1,14607441,2856,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,2,0,0.0,0,False
2,14609480,2344,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,3,0,0.0,0,False
3,14611422,602,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,4,0,0.0,0,False
4,14613274,1503,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,5,0,0.0,0,False
5,14615947,2727,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,6,0,0.0,0,False
6,14617981,2076,126001,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,7,0,0.0,0,False
7,14619725,999,127122,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,8,0,0.0,0,False
8,14636930,1165,126000,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,9,0,0.0,0,False
9,14764933,2767,125857,500,0,0,0.0,31,0,none,0,0,0,0,0,0,0,0,10,0,0.0,0,False
10,14892930,2173,125631,500,0,0,0.0,31,0,none,0,0,0,0,0,132383,0,0,11,0,0.0,0,False
11,15020930,409,123037,500,0,0,0.0,31,0,none,0,0,0,0,0,195547,0,0,12,0,0.0,0,False
12,15148930,1650,123587,500,0,0,0.0,31,0,none,0,0,0,0,0,257550,0,0,13,0,0.0,0,False
13,15276930,3111,123650,500,0,0,0.0,31,0,none,0,0,0,0,0,319349,0,0,14,0,0.0,0,False
14,15404933,1542,123649,500,0,0,0.0,31,0,none,0,0,0,0,0,373087,0,0,15,0,0.0,0,False
15,15532990,849,123643,500,0,0,0.0,31,0,none,0,0,0,0,0,309810,0,0,16,0,0.0,0,False
16,15660930,1715,122815,500,0,0,0.0,31,0,none,0,0,0,0,0,245715,0,0,17,0,0.0,0,False
17,15788930,2634,123582,500,0,0,0.0,31,0,none,0,0,0,0,0,183022,0,0,18,0,0.0,0,False
18,15916930,1897,123587,500,0,0,0.0,31,0,none,0,0,0,0,0,117763,0,0,19,0,0.0,0,False
19,16044930,538,122587,500,0,0,0.0,31,0,none,0,0,0,0,0,66808,0,0,20,0,0.0,0,False
20,16172930,1770,125677,500,0,0,0.0,31,0,none,0,0,0,0,0,66808,0,0,21,0,0.0,0,False
21,16300930,3221,123446,500,0,0,0.0,31,0,none,0,0,0,0,0,180792,0,0,22,0,0.0,0,False
22,16428930,1239,124990,500,0,0,0.0,31,0,none,0,0,0,0,0,180295,0,0,23,0,0.0,0,False
23,16556930,711,123586,500,0,0,0.0,31,0,none,0,0,0,0,0,117819,0,0,24,0,0.0,0,False
24,16684930,2236,122589,500,0,0,0.0,31,0,none,0,0,0,0,0,66697,0,0,25,0,0.0,0,False
25,16812930,2479,125126,500,0,0,0.0,31,0,none,0,0,0,0,0,116938,0,0,26,0,0.0,0,False
26,16940930,1514,123589,500,0,0,0.0,31,0,none,0,0,0,0,0,66586,0,0,27,0,0.0,0,False
27,17068937,797,125672,500,0,0,0.0,31,0,none,0,0,0,0,0,116247,0,0,28,0,0.0,0,False
28,17196930,1938,125614,500,0,0,0.0,31,0,none,0,0,0,0,0,116247,0,0,29,0,0.0,0,False
29,17324933,3109,125826,500,0,0,0.0,31,0,none,0,0,0,0,0,116247,0,0,30,0,0.0,0,False
