float1,float2,int
-0.5,-0.63,-1
-0.1,-0.623,-1
-0.7,-0.624,-1
-1.8,-0.639,-1
-1.6,-0.651,-1
-0.6,-0.65,-1
-0.3,-0.646,-1
-0.1,-0.639,-1
-0.1,-0.633,-1
-0.2,-0.628,-1
-0.2,-0.623,-1
-1.1,-0.628,-1
-1.3,-0.636,-1
-0.6,-0.636,-1
-0.7,-0.636,-1
-0.7,-0.637,-1
-0.3,-0.633,-1
0.1,-0.626,-1
-0.2,-0.621,-1
-0.1,-0.616,-1
-0.5,-0.614,-1
-0.5,-0.613,-1
-1.4,-0.621,-1
-1.8,-0.633,-1
-0.8,-0.635,-1
-0.4,-0.632,-1
-0.3,-0.629,-1
-0.5,-0.628,-1
-0.2,-0.624,-1
-0.2,-0.62,-1
-0.5,-0.619,-1
-1.5,-0.627,-1
-0.9,-0.629,-1
-0.6,-0.629,-1
-0.9,-0.632,-1
-0.5,-0.63,-1
-0.2,-0.627,-1
0.0,-0.621,-1
-0.2,-0.617,-1
-0.6,-0.617,-1
53.4,-0.156,-1
55.3,0.314,-1
62.2,0.834,-1
62.5,1.348,-1
56.8,1.807,-1
49.4,2.197,-1
68.2,2.733,-1
70.4,3.279,-1
40.3,3.575,-1
40.8,3.871,-1
40.4,4.158,-1
38.4,4.426,-1
39.0,4.694,-1
38.0,4.95,-1
73.6,5.474,-1
54.2,5.843,-1
304.7,8.09,-1
119.3,8.92,-1
134.3,9.849,-1
119.9,10.658,-1
42.1,10.888,-1
41.5,11.109,-1
42.5,11.335,-1
41.6,11.551,-1
41.6,11.765,-1
42.0,11.977,-1
41.5,12.184,-1
42.1,12.392,-1
118.2,13.121,-1
119.1,13.847,-1
41.2,14.033,-1
41.8,14.221,-1
41.7,14.405,-1
42.1,14.59,-1
42.5,14.775,-1
41.8,14.953,-1
41.8,15.128,-1
119.7,15.807,-1
119.5,16.476,-1
119.6,17.137,-1
41.9,17.295,-1
42.1,17.452,-1
42.0,17.606,-1
41.3,17.754,-1
42.3,17.907,-1
41.6,18.053,-1
42.5,18.203,-1
42.0,18.348,-1
42.4,18.494,-1
41.8,18.634,-1
41.8,18.773,-1
41.9,18.911,-1
42.3,19.049,-1
41.6,19.182,-1
41.7,19.313,-1
42.4,19.448,-1
42.6,19.582,-1
120.0,20.159,-1
42.4,20.286,-1
119.5,20.849,-1
120.7,21.414,-1
41.8,21.528,-1
41.6,21.64,-1
41.3,21.749,-1
42.2,21.862,-1
42.2,21.974,-1
42.3,22.085,-1
42.5,22.196,-1
41.9,22.303,-1
41.6,22.406,-1
41.8,22.51,-1
42.6,22.617,-1
119.1,23.128,-1
